Date,Country,Confirmed,Recovered,Deaths
01-05-2020,India,37257,10007,1223
02-05-2020,India,39699,10819,1323
03-05-2020,India,42505,11775,1391
04-05-2020,India,46437,12847,1566
05-05-2020,India,49400,14142,1693
06-05-2020,India,52987,15331,1785
07-05-2020,India,56351,16776,1889
08-05-2020,India,59695,17887,1985
09-05-2020,India,62808,19301,2101
10-05-2020,India,67161,20969,2212
11-05-2020,India,70768,22549,2294
12-05-2020,India,74292,24420,2415
13-05-2020,India,78055,26400,2551
14-05-2020,India,81997,27969,2649
15-05-2020,India,85784,30258,2753
16-05-2020,India,90648,34224,2871
17-05-2020,India,95698,36795,3025
18-05-2020,India,100328,39233,3156
19-05-2020,India,106475,42309,3302
20-05-2020,India,112028,45422,3434
21-05-2020,India,118226,48553,3584
22-05-2020,India,124794,51824,3726
23-05-2020,India,131423,54385,3868
24-05-2020,India,138536,57692,4024
25-05-2020,India,144950,60706,4172
26-05-2020,India,150793,64277,4344
27-05-2020,India,158086,67749,4534
28-05-2020,India,165386,70920,4711
29-05-2020,India,173491,82627,4980
30-05-2020,India,181827,86936,5185
31-05-2020,India,190609,91852,5408
01-06-2020,India,198370,95754,5608
02-06-2020,India,207191,100285,5829
03-06-2020,India,216824,104071,6088
04-06-2020,India,226713,108450,6363
05-06-2020,India,236184,113233,6649
06-06-2020,India,246622,118695,6946
07-06-2020,India,257486,123848,7207
08-06-2020,India,265928,129095,7473
09-06-2020,India,276146,134670,7750
10-06-2020,India,286605,135206,8102
11-06-2020,India,297535,147195,8498
12-06-2020,India,308993,154330,8884
13-06-2020,India,320922,162379,9195
14-06-2020,India,332424,169798,9520
15-06-2020,India,343091,180013,9900
16-06-2020,India,354065,186935,11903
17-06-2020,India,366946,194325,12237
18-06-2020,India,380532,204711,12573
19-06-2020,India,395048,213831,12948
20-06-2020,India,410451,227728,13254
21-06-2020,India,425282,237196,13699
22-06-2020,India,440215,248190,14011
23-06-2020,India,456183,258685,14476
24-06-2020,India,473105,271697,14894
25-06-2020,India,490401,285637,15301
26-06-2020,India,508953,295881,15685
27-06-2020,India,528859,309713,16095
28-06-2020,India,548318,321723,16475
29-06-2020,India,566840,334822,16893
30-06-2020,India,585481,347912,17400
01-07-2020,India,604641,359860,17834
02-07-2020,India,625544,379892,18213
03-07-2020,India,648315,394227,18655
04-07-2020,India,673165,409083,19268
05-07-2020,India,697413,424433,19693
06-07-2020,India,719664,439934,20159
07-07-2020,India,742417,456831,20642
08-07-2020,India,767296,476378,21129
09-07-2020,India,793802,495513,21604
10-07-2020,India,820916,515386,22123
11-07-2020,India,849522,534618,22673
12-07-2020,India,878254,553471,23174
13-07-2020,India,906752,571460,23727
14-07-2020,India,936181,592032,24309
15-07-2020,India,968857,612768,24914
16-07-2020,India,1003832,635757,25602
17-07-2020,India,1039084,653751,26273
18-07-2020,India,1077781,677423,26816
19-07-2020,India,1118206,700087,27497
20-07-2020,India,1155338,724578,28082
21-07-2020,India,1193078,753050,28732
22-07-2020,India,1238798,782607,29861
23-07-2020,India,1288108,817209,30601
24-07-2020,India,1337024,849432,31358
25-07-2020,India,1385635,885573,32060
26-07-2020,India,1435616,917568,32771
27-07-2020,India,1480073,951166,33408
28-07-2020,India,1531669,988029,34193
29-07-2020,India,1581963,1019735,34955
30-07-2020,India,1634746,1055348,35718
31-07-2020,India,1695988,1094374,36511
01-08-2020,India,1750723,1145629,37364
02-08-2020,India,1803695,1186203,38135
03-08-2020,India,1855745,1230509,38938
04-08-2020,India,1908254,1282215,39795
05-08-2020,India,1964536,1328336,40699
06-08-2020,India,2027074,1378105,41585
07-08-2020,India,2088611,1427005,42518
08-08-2020,India,2153010,1480884,43379
09-08-2020,India,2215074,1535743,44386
10-08-2020,India,2268675,1583489,45257
11-08-2020,India,2329638,1639599,46091
12-08-2020,India,2396637,1695982,47033
13-08-2020,India,2461190,1751555,48040
14-08-2020,India,2525922,1808936,49036
15-08-2020,India,2589952,1862258,49980
16-08-2020,India,2647663,1919842,50921
17-08-2020,India,2702681,1977671,51797
18-08-2020,India,2767253,2037816,52888
19-08-2020,India,2836925,2096664,53866
20-08-2020,India,2905825,2158946,54849
21-08-2020,India,2975701,2222577,55794
22-08-2020,India,3044940,2280566,56706
23-08-2020,India,3106348,2338035,57542
24-08-2020,India,3167323,2404585,58390
25-08-2020,India,3224547,2458339,59357
26-08-2020,India,3310234,2523771,60472
27-08-2020,India,3387500,2583948,61529
28-08-2020,India,3463972,2648998,62550
29-08-2020,India,3542733,2713933,63498
30-08-2020,India,3621245,2774801,64469
31-08-2020,India,3691166,2839882,65288
01-09-2020,India,3769523,2901908,66333
02-09-2020,India,3853406,2970492,67376
03-09-2020,India,3936747,3037151,68472
04-09-2020,India,4023179,3107223,69561
05-09-2020,India,4113811,3180865,70626
06-09-2020,India,4204613,3250429,71642
07-09-2020,India,4280422,3323950,72775
08-09-2020,India,4370128,3398844,73890
09-09-2020,India,4465863,3471783,75062
10-09-2020,India,4562414,3542663,76271
11-09-2020,India,4659984,3624196,77472
12-09-2020,India,4754356,3702595,78586
13-09-2020,India,4846427,3780107,79722
14-09-2020,India,4930236,3859399,80776
15-09-2020,India,5020359,3942360,82066
16-09-2020,India,5118253,4025079,83198
17-09-2020,India,5214677,4112551,84372
18-09-2020,India,5308014,4208431,85619
19-09-2020,India,5400619,4303043,86752
20-09-2020,India,5487580,4396399,87882
21-09-2020,India,5562663,4497867,88935
22-09-2020,India,5646010,4587613,90020
23-09-2020,India,5732518,4674987,91149
24-09-2020,India,5818570,4756164,92290
25-09-2020,India,5903932,4849584,93379
26-09-2020,India,5992532,4941627,94503
27-09-2020,India,5992532,4941627,94503
